,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
15582,manhattan,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1245,47.0,"118 RIVERSIDE DRIVE, 5D",10024,1929,2,D4,2925000.0,6/27/19,True,True,False,False,False,False
65419,queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,9533,13.0,104-16 111TH STREET,11419,1920,1,A1,676000.0,10/4/19,True,False,False,False,False,True
62626,queens,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,2824,39.0,76-01 CALDWELL AVENUE,11379,1940,1,B1,868000.0,8/30/19,True,False,False,False,False,True
55590,queens,FLUSHING-SOUTH,13 CONDOS - ELEVATOR APARTMENTS,6793,1039.0,"71-66 PARSONS BOULEVARD, 5J",11365,2016,2,R4,410670.0,3/7/19,True,False,False,False,False,True
28388,brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,4737,20.0,498 EAST 53RD STREET,11203,1920,1,A5,285000.0,11/21/19,True,False,True,False,False,False
35357,brooklyn,PARK SLOPE,13 CONDOS - ELEVATOR APARTMENTS,949,1206.0,"675 SACKETT STREET, 105",11217,,2,R4,1670000.0,9/5/19,True,False,True,False,False,False
11738,manhattan,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,1384,1148.0,"15 EAST 69TH STREET, 16B",10021,,2,R4,11750000.0,6/26/19,True,True,False,False,False,False
9641,manhattan,MURRAY HILL,13 CONDOS - ELEVATOR APARTMENTS,892,1397.0,"45 PARK AVENUE, 2104",10016,2006,2,R4,1775000.0,4/30/19,True,True,False,False,False,False
18878,brooklyn,BEDFORD STUYVESANT,13 CONDOS - ELEVATOR APARTMENTS,1715,1413.0,"464 FLUSHING AVENUE, 5A",11205,2004,2,R4,750000.0,5/13/19,True,False,True,False,False,False
7909,manhattan,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS,1326,1115.0,"250 EAST 53RD STREET, 2901",10022,2006,2,R4,2475000.0,9/9/19,True,True,False,False,False,False
57528,queens,GLENDALE,10 COOPS - ELEVATOR APARTMENTS,3880,97.0,"90-50 UNION TURNPIKE, 5L",11385,1965,2,D4,295000.0,4/17/19,True,False,False,False,False,True
16630,manhattan,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS,2171,105.0,"30 BOGARDUS PLACE, 5G",10040,1941,2,D4,350000.0,1/29/19,True,True,False,False,False,False
2801,manhattan,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS,878,1059.0,"121 EAST 22ND STREET, N804",10010,1952,2,R4,1734080.0,4/1/19,True,True,False,False,False,False
65587,queens,RICHMOND HILL,02 TWO FAMILY DWELLINGS,9302,109.0,87-45 112TH STREET,11418,1940,1,B1,725000.0,8/13/19,True,False,False,False,False,True
7890,manhattan,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS,1323,1080.0,"255 EAST 49 STREET, 16F",10017,1985,2,R4,735000.0,8/7/19,True,True,False,False,False,False
32744,brooklyn,MARINE PARK,10 COOPS - ELEVATOR APARTMENTS,7654,14.0,"3626 KINGS HIGHWAY, 5-L",11234,1939,2,D4,220000.0,3/6/19,True,False,True,False,False,False
39863,bronx,BEDFORD PARK/NORWOOD,10 COOPS - ELEVATOR APARTMENTS,3343,76.0,"3245 PERRY AVENUE, 5B",10467,1940,2,D4,150000.0,7/25/19,True,False,False,False,True,False
8454,manhattan,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS,1010,1461.0,"100 WEST 58TH STREET, 9F",10019,1926,2,R4,1410000.0,8/22/19,True,True,False,False,False,False
43546,bronx,PELHAM PARKWAY SOUTH,10 COOPS - ELEVATOR APARTMENTS,4291,14.0,"2104 HOLLAND AVENUE, 3H",10462,1952,2,D4,139200.0,10/25/19,True,False,False,False,True,False
71489,queens,WOODSIDE,10 COOPS - ELEVATOR APARTMENTS,1132,44.0,"31-21 54TH STREET, 3E",11377,1941,2,D4,285000.0,1/8/19,True,False,False,False,False,True
40575,bronx,CITY ISLAND,01 ONE FAMILY DWELLINGS,5648,192.0,678 KING AVENUE,10464,1870,1,A1,1200000.0,11/1/19,True,False,False,False,True,False
67480,queens,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,12039,82.0,142-33 ROCKAWAY BOULEVARD,11436,2002,1,B1,350000.0,9/19/19,True,False,False,False,False,True
69787,queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11010,39.0,194-53 114TH ROAD,11412,1920,1,A1,545000.0,1/31/19,True,False,False,False,False,True
73392,staten_island,GRANT CITY,13 CONDOS - ELEVATOR APARTMENTS,3585,1041.0,"100 COLFAX AVE, 1G",10306,1961,2,R4,220000.0,2/5/19,True,False,False,True,False,False
7371,manhattan,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,1334,22.0,"25 TUDOR CITY PLACE, 1414",10017,1928,2,D4,417251.0,6/12/19,True,True,False,False,False,False
15660,manhattan,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1251,8.0,"321 WEST 90TH STREET, 1C",10024,1929,2,D4,975000.0,2/14/19,True,True,False,False,False,False
22433,brooklyn,BUSHWICK,02 TWO FAMILY DWELLINGS,3172,109.0,104 JEFFERSON STREET,11206,2008,1,B1,6150000.0,3/27/19,True,False,True,False,False,False
57057,queens,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,8489,1.0,"26910 GRAND CENTRAL PARKWAY, 14W",11005,1972,2,D4,725000.0,11/18/19,True,False,False,False,False,True
74701,staten_island,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1236,16.0,57 LOCKMAN AVENUE,10303,1920,1,A1,520000.0,7/31/19,True,False,False,True,False,False
11276,manhattan,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1413,50.0,"156 EAST 79TH STREET, 14AD",10075,1917,2,D4,2525000.0,4/2/19,True,True,False,False,False,False
5627,manhattan,JAVITS CENTER,13 CONDOS - ELEVATOR APARTMENTS,702,1083.0,"553 WEST 30TH STREET, 32D",10001,2015,2,R4,3849250.0,3/12/19,True,True,False,False,False,False
25997,brooklyn,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,4133,10.0,225 AUTUMN AVENUE,11208,1899,1,B1,850000.0,1/24/19,True,False,True,False,False,False
28816,brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,4914,58.0,511 EAST 46TH STREET,11203,1960,1,B1,715000.0,7/12/19,True,False,True,False,False,False
44140,bronx,RIVERDALE,13 CONDOS - ELEVATOR APARTMENTS,5903,1043.0,"640 WEST 237 STREET, 12B",10463,2006,2,R4,1305000.0,10/18/19,True,False,False,False,True,False
63927,queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,10647,93.0,90-39 214TH ST,11428,1920,1,A1,560000.0,9/4/19,True,False,False,False,False,True
1118,manhattan,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS,174,1535.0,"91 LEONARD STREET, 6F",10013,2018,2,R4,1277904.0,10/28/19,True,True,False,False,False,False
28167,brooklyn,FLATBUSH-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,5122,56.0,"221 EAST 18 STREET, 6K",11226,1940,2,D4,570000.0,6/24/19,True,False,True,False,False,False
14189,manhattan,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1179,19.0,"303 WEST 66TH STREET, 14FE",10023,1962,2,D4,995000.0,9/23/19,True,True,False,False,False,False
486,manhattan,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,722,1056.0,"420 WEST 25TH STREET, 6H",10001,,2,R4,1450000.0,6/21/19,True,True,False,False,False,False
46426,queens,ARVERNE,01 ONE FAMILY DWELLINGS,15968,104.0,413 BEACH 45 STREET,11691,1920,1,A1,414000.0,9/19/19,True,False,False,False,False,True
7697,manhattan,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,1367,1.0,"400 EAST 56TH STREET, 17N",10022,1969,2,D4,2050000.0,11/4/19,True,True,False,False,False,False
14804,manhattan,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,1184,1023.0,"22 RIVERSIDE DRIVE, 14B",10023,1931,2,R4,4000000.0,12/17/19,True,True,False,False,False,False
14475,manhattan,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,1139,1040.0,"1991 BROADWAY, 14A",10023,1985,2,R4,1220000.0,12/6/19,True,True,False,False,False,False
15305,manhattan,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1197,29.0,"230 CENTRAL PARK WEST, 2C",10024,1929,2,D4,1100000.0,8/27/19,True,True,False,False,False,False
16247,manhattan,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS,1894,1.0,"380 RIVERSIDE DRIVE, 2H",10025,1907,2,D4,200000.0,4/26/19,True,True,False,False,False,False
4137,manhattan,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS,612,1347.0,"15 CHARLES STREET, 7C",10014,,2,R4,1750000.0,9/12/19,True,True,False,False,False,False
44077,bronx,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS,5953,230.0,"5800 ARLINGTON AVE, 9-W",10471,1961,2,D4,420000.0,9/25/19,True,False,False,False,True,False
27040,brooklyn,EAST NEW YORK,02 TWO FAMILY DWELLINGS,3991,28.0,128 MONTAUK AVENUE,11208,1901,1,B1,675000.0,8/30/19,True,False,True,False,False,False
5381,manhattan,HARLEM-UPPER,13 CONDOS - ELEVATOR APARTMENTS,2090,1153.0,"668 RIVERSIDE DRIVE, 5K",10031,,2,R4,427500.0,9/6/19,True,True,False,False,False,False
1450,manhattan,CLINTON,13 CONDOS - ELEVATOR APARTMENTS,1090,1224.0,"635 WEST 42ND STREET, 20F",10036,2005,2,R4,1175000.0,1/10/19,True,True,False,False,False,False
17751,brooklyn,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS,6100,1.0,"9281 SHORE ROAD, 420",11209,1940,2,D4,355000.0,9/13/19,True,False,True,False,False,False
3587,manhattan,GREENWICH VILLAGE-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS,570,1406.0,"34 EAST 13TH STREET, E",10003,2016,2,R4,9700000.0,1/18/19,True,True,False,False,False,False
60636,queens,KEW GARDENS,10 COOPS - ELEVATOR APARTMENTS,9209,55.0,"115-25 84TH AVENUE, 2L",11418,1928,2,D4,225000.0,5/30/19,True,False,False,False,False,True
