,borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,price_per_sqft,latitude,longitude
0,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,376,43.0,S1,743 EAST 6TH STREET,,10009.0,1.0,1.0,2.0,2090.0,3680.0,1940.0,1,S1,3200000.0,7/24/19,869.5652173913044,40.7229003,-73.9773749
1,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61.0,A4,189 EAST 7TH STREET,,10009.0,1.0,0.0,1.0,987.0,2183.0,1860.0,1,A4,0.0,9/25/19,0.0,40.72493250000001,-73.9805121
131,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,693,39.0,S1,504 WEST 22ND STREET,,10011.0,1.0,1.0,2.0,1102.0,5390.0,1910.0,1,S1,0.0,2/28/19,0.0,40.7471006,-74.0051916
132,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,720,6.0,A4,483 WEST 22ND STREET,,10011.0,1.0,0.0,1.0,1562.0,4150.0,1901.0,1,A4,6725000.0,9/3/19,1620.4819277108436,40.7469931,-74.004072
133,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,764,49.0,A9,218 WEST 15TH STREET,,10011.0,1.0,0.0,1.0,2141.0,3935.0,1910.0,1,A9,2421900.0,5/22/19,615.4764930114359,40.7395393,-74.00025819999999
134,1,CHELSEA,01 ONE FAMILY DWELLINGS,1,768,8.0,A4,253 WEST 18TH STREET,,10011.0,1.0,0.0,1.0,1521.0,6984.0,1901.0,1,A4,12709140.0,4/11/19,1819.7508591065289,40.7421402,-74.00001379999999
1489,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,429,19.0,S1,113 EAST 2ND STREET,,10009.0,1.0,1.0,2.0,2648.0,10000.0,1900.0,1,S1,7400000.0,2/5/19,740.0,40.7234243,-73.98711829999999
1490,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,448,16.0,A4,64 EAST 7TH STREET,,10003.0,1.0,0.0,1.0,2271.0,5299.0,1899.0,1,A4,15750000.0,5/14/19,2972.2589167767505,40.7273703,-73.98707770000001
1491,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,452,34.0,S1,169 FIRST AVENUE,,10003.0,1.0,1.0,2.0,2317.0,2760.0,1901.0,1,S1,0.0,5/23/19,0.0,40.72916559999999,-73.9845084
1492,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,452,34.0,S1,169 1 AVENUE,,10003.0,1.0,1.0,2.0,2317.0,2760.0,1901.0,1,S1,14000000.0,11/25/19,5072.463768115942,40.72916559999999,-73.9845084
1493,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,466,45.0,A9,125 EAST 10TH STREET,,10003.0,1.0,0.0,1.0,1324.0,3225.0,1901.0,1,A9,7650000.0,10/11/19,2372.093023255814,40.7303668,-73.9877559
1494,1,EAST VILLAGE,01 ONE FAMILY DWELLINGS,1,466,46.0,A7,123 EAST 10TH STREET,,10003.0,1.0,0.0,1.0,1324.0,2385.0,1899.0,1,A7,7350000.0,6/28/19,3081.7610062893077,40.730407,-73.987735
3111,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,526,66.0,A4,186 SULLIVAN STREET,,10012.0,1.0,0.0,1.0,2252.0,3960.0,1899.0,1,A4,13125000.0,6/28/19,3314.393939393939,40.7285002,-74.00089679999999
3112,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,551,115.0,A9,6 MAC DOUGAL ALLEY,,10011.0,1.0,0.0,1.0,950.0,1284.0,1900.0,1,A9,0.0,3/9/19,0.0,40.7324304,-73.99808019999999
3113,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,572,12.0,A4,60 WEST 9TH STREET,,10011.0,1.0,0.0,1.0,2348.0,5065.0,1900.0,1,A4,9800000.0,6/27/19,1934.8469891411648,40.7338332,-73.9986428
3114,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,576,48.0,A4,11 WEST 12TH STREET,,10011.0,1.0,0.0,1.0,2581.0,8125.0,1910.0,1,A4,19900000.0,6/14/19,2449.230769230769,40.735118,-73.99504999999999
3115,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,1,576,64.0,A4,45 WEST 12TH STREET,,10011.0,1.0,0.0,1.0,1024.0,1656.0,1901.0,1,A4,6600000.0,2/1/19,3985.507246376812,40.7355358,-73.996191
3724,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,586,55.0,S1,16 MORTON STREET,,10014.0,1.0,1.0,2.0,2250.0,5662.0,1905.0,1,S1,14150000.0,3/25/19,2499.1169198163198,40.7310354,-74.0037316
3725,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,587,49.0,A4,51 BARROW STREET,,10014.0,1.0,0.0,1.0,800.0,1045.0,1899.0,1,A4,0.0,7/22/19,0.0,40.7319679,-74.0043858
3726,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,587,65.0,A4,15 COMMERCE STREET,,10014.0,1.0,0.0,1.0,840.0,1638.0,1899.0,1,A4,6000000.0,6/26/19,3663.0036630036625,40.7318679,-74.0042251
3727,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,590,42.0,A5,23 CORNELIA STREET,,10014.0,1.0,0.0,1.0,2056.0,3357.0,1899.0,1,A5,11500000.0,2/5/19,3425.677688412273,40.7315994,-74.0022625
3728,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,592,60.0,A7,146 WAVERLY PLACE,,10014.0,1.0,0.0,1.0,2158.0,6118.0,1905.0,1,A7,17400000.0,6/28/19,2844.0666884602806,40.7331497,-74.0008738
3729,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,593,41.0,S1,22 CHRISTOPHER STREET,,10014.0,1.0,1.0,2.0,1235.0,2739.0,1910.0,1,S1,5500000.0,1/21/19,2008.032128514056,40.7337672,-74.0007361
3730,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,602,77.0,A4,121 LEROY STREET,,10014.0,1.0,0.0,1.0,0.0,0.0,2017.0,1,A4,11291873.0,6/27/19,inf,40.7305426,-74.0079647
3731,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,1,603,61.0,A4,95 BARROW STREET,,10014.0,1.0,0.0,1.0,900.0,2592.0,1899.0,1,A4,6750000.0,10/15/19,2604.1666666666665,40.7315763,-74.0070714
